"studyid","workflowid","gsm_version","param","index","value","gsm_analysis_date"
"AA-AA-000-0000","cou0008","1.7.0","vThreshold",1,"-3","2017-12-01"
"AA-AA-000-0000","cou0008","1.7.0","vThreshold",2,"-2","2017-12-01"
"AA-AA-000-0000","cou0008","1.7.0","vThreshold",3,"2","2017-12-01"
"AA-AA-000-0000","cou0008","1.7.0","vThreshold",4,"3","2017-12-01"
"AA-AA-000-0000","cou0008","1.7.0","strMethod",NA,"NormalApprox","2017-12-01"
"AA-AA-000-0000","cou0009","1.7.0","vThreshold",1,"-3","2017-12-01"
"AA-AA-000-0000","cou0009","1.7.0","vThreshold",2,"-2","2017-12-01"
"AA-AA-000-0000","cou0009","1.7.0","vThreshold",3,"2","2017-12-01"
"AA-AA-000-0000","cou0009","1.7.0","vThreshold",4,"3","2017-12-01"
"AA-AA-000-0000","cou0009","1.7.0","strMethod",NA,"NormalApprox","2017-12-01"
"AA-AA-000-0000","cou0010","1.7.0","vThreshold",1,"-3","2017-12-01"
"AA-AA-000-0000","cou0010","1.7.0","vThreshold",2,"-2","2017-12-01"
"AA-AA-000-0000","cou0010","1.7.0","vThreshold",3,"2","2017-12-01"
"AA-AA-000-0000","cou0010","1.7.0","vThreshold",4,"3","2017-12-01"
"AA-AA-000-0000","cou0010","1.7.0","strMethod",NA,"NormalApprox","2017-12-01"
"AA-AA-000-0000","cou0011","1.7.0","vThreshold",1,"-3","2017-12-01"
"AA-AA-000-0000","cou0011","1.7.0","vThreshold",2,"-2","2017-12-01"
"AA-AA-000-0000","cou0011","1.7.0","vThreshold",3,"2","2017-12-01"
"AA-AA-000-0000","cou0011","1.7.0","vThreshold",4,"3","2017-12-01"
"AA-AA-000-0000","cou0011","1.7.0","strMethod",NA,"NormalApprox","2017-12-01"
"AA-AA-000-0000","cou0012","1.7.0","vThreshold",1,"-3","2017-12-01"
"AA-AA-000-0000","cou0012","1.7.0","vThreshold",2,"-2","2017-12-01"
"AA-AA-000-0000","cou0012","1.7.0","vThreshold",3,"2","2017-12-01"
"AA-AA-000-0000","cou0012","1.7.0","vThreshold",4,"3","2017-12-01"
"AA-AA-000-0000","cou0012","1.7.0","strMethod",NA,"NormalApprox","2017-12-01"
"AA-AA-000-0000","qtl0004","1.7.0","vThreshold",1,"0.01","2017-12-01"
"AA-AA-000-0000","qtl0004","1.7.0","strMethod",NA,"qtl","2017-12-01"
"AA-AA-000-0000","qtl0006","1.7.0","vThreshold",1,"0.2","2017-12-01"
"AA-AA-000-0000","qtl0006","1.7.0","strMethod",NA,"qtl","2017-12-01"
